track.name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
Flume,0.448,0.143,11,-17.012,1,0.0328,0.929,0.0356,0.109,0.0873,132.829,audio_features,0bhBtXHQX3u6dSAPF59qGx,spotify:track:0bhBtXHQX3u6dSAPF59qGx,https://api.spotify.com/v1/tracks/0bhBtXHQX3u6dSAPF59qGx,https://api.spotify.com/v1/audio-analysis/0bhBtXHQX3u6dSAPF59qGx,219000,4
Wash.,0.31,0.146,0,-19.278,1,0.0303,0.99,0.261,0.076,0.333,162.831,audio_features,7rIhp6EWLNtM8qFIQruJPT,spotify:track:7rIhp6EWLNtM8qFIQruJPT,https://api.spotify.com/v1/tracks/7rIhp6EWLNtM8qFIQruJPT,https://api.spotify.com/v1/audio-analysis/7rIhp6EWLNtM8qFIQruJPT,298587,3
Interlude,0.584,0.0831,7,-21.379,1,0.0395,0.988,0.934,0.111,0.591,100.079,audio_features,4cJsJdwEp3y4K1slV5fRZm,spotify:track:4cJsJdwEp3y4K1slV5fRZm,https://api.spotify.com/v1/tracks/4cJsJdwEp3y4K1slV5fRZm,https://api.spotify.com/v1/audio-analysis/4cJsJdwEp3y4K1slV5fRZm,60013,4
Down by the Water,0.611,0.331,4,-12.493,1,0.028,0.93,2.76e-4,0.117,0.559,95.015,audio_features,4Vutl1Y7OJOBwIqVISNmzL,spotify:track:4Vutl1Y7OJOBwIqVISNmzL,https://api.spotify.com/v1/tracks/4Vutl1Y7OJOBwIqVISNmzL,https://api.spotify.com/v1/audio-analysis/4Vutl1Y7OJOBwIqVISNmzL,178293,4
Sex,0.408,0.974,2,-4.139,1,0.126,1.31e-5,4.86e-5,0.526,0.173,148.298,audio_features,0oTS4ZOkbBlEMDMEvQdemj,spotify:track:0oTS4ZOkbBlEMDMEvQdemj,https://api.spotify.com/v1/tracks/0oTS4ZOkbBlEMDMEvQdemj,https://api.spotify.com/v1/audio-analysis/0oTS4ZOkbBlEMDMEvQdemj,207000,4
Unsteady,0.56,0.79,0,-5.773,1,0.0893,0.122,5.14e-4,0.208,0.368,117.05,audio_features,37Jg3SHfz04uFHTo9UNre1,spotify:track:37Jg3SHfz04uFHTo9UNre1,https://api.spotify.com/v1/tracks/37Jg3SHfz04uFHTo9UNre1,https://api.spotify.com/v1/audio-analysis/37Jg3SHfz04uFHTo9UNre1,192027,4
Lego House,0.592,0.637,11,-8.48,1,0.0992,0.562,0,0.13,0.565,159.701,audio_features,5ubHAQtKuFfiG4FXfLP804,spotify:track:5ubHAQtKuFfiG4FXfLP804,https://api.spotify.com/v1/tracks/5ubHAQtKuFfiG4FXfLP804,https://api.spotify.com/v1/audio-analysis/5ubHAQtKuFfiG4FXfLP804,185093,4
The A Team,0.642,0.289,9,-9.918,1,0.0367,0.669,0,0.18,0.407,84.996,audio_features,1VdZ0vKfR5jneCmWIUAMxK,spotify:track:1VdZ0vKfR5jneCmWIUAMxK,https://api.spotify.com/v1/tracks/1VdZ0vKfR5jneCmWIUAMxK,https://api.spotify.com/v1/audio-analysis/1VdZ0vKfR5jneCmWIUAMxK,258373,4
My Heart Is Open,0.49,0.315,1,-7.682,1,0.03,0.597,0,0.0801,0.316,101.962,audio_features,2HtRxTXHhW9Znl4eRLU6It,spotify:track:2HtRxTXHhW9Znl4eRLU6It,https://api.spotify.com/v1/tracks/2HtRxTXHhW9Znl4eRLU6It,https://api.spotify.com/v1/audio-analysis/2HtRxTXHhW9Znl4eRLU6It,236853,4
O,0.371,0.216,10,-14.727,1,0.0358,0.911,0.826,0.0934,0.0645,136.998,audio_features,77yuzxCS3csrgTPSW0pvyk,spotify:track:77yuzxCS3csrgTPSW0pvyk,https://api.spotify.com/v1/tracks/77yuzxCS3csrgTPSW0pvyk,https://api.spotify.com/v1/audio-analysis/77yuzxCS3csrgTPSW0pvyk,323480,4
Pretty When You Cry,0.509,0.547,10,-6.548,0,0.0417,0.399,0,0.215,0.197,109.436,audio_features,6PnluwP0fjGnpIBsqTdUTq,spotify:track:6PnluwP0fjGnpIBsqTdUTq,https://api.spotify.com/v1/tracks/6PnluwP0fjGnpIBsqTdUTq,https://api.spotify.com/v1/audio-analysis/6PnluwP0fjGnpIBsqTdUTq,234147,4
Skin & Bones,0.27,0.327,4,-8.417,1,0.0324,0.166,2.46e-6,0.0812,0.114,95.181,audio_features,48AXanxocOGVlneJkrSN55,spotify:track:48AXanxocOGVlneJkrSN55,https://api.spotify.com/v1/tracks/48AXanxocOGVlneJkrSN55,https://api.spotify.com/v1/audio-analysis/48AXanxocOGVlneJkrSN55,231533,4
A Sky Full of Stars,0.545,0.675,6,-6.474,1,0.0279,0.00617,0.00197,0.209,0.162,124.97,audio_features,0FDzzruyVECATHXKHFs9eJ,spotify:track:0FDzzruyVECATHXKHFs9eJ,https://api.spotify.com/v1/tracks/0FDzzruyVECATHXKHFs9eJ,https://api.spotify.com/v1/audio-analysis/0FDzzruyVECATHXKHFs9eJ,267867,4
Lemon Tree,0.365,0.748,10,-9.145,1,0.0881,0.55,0.503,0.303,0.475,121.285,audio_features,0SnCZci0wyVj0RZXknNaWq,spotify:track:0SnCZci0wyVj0RZXknNaWq,https://api.spotify.com/v1/tracks/0SnCZci0wyVj0RZXknNaWq,https://api.spotify.com/v1/audio-analysis/0SnCZci0wyVj0RZXknNaWq,248560,4
Strangers,0.564,0.636,7,-8.136,1,0.0418,0.739,0.0224,0.0807,0.218,101.913,audio_features,73WyCOipkJRtIH8klizJd5,spotify:track:73WyCOipkJRtIH8klizJd5,https://api.spotify.com/v1/tracks/73WyCOipkJRtIH8klizJd5,https://api.spotify.com/v1/audio-analysis/73WyCOipkJRtIH8klizJd5,193187,4
Hardest Part,0.311,0.27,6,-9.294,1,0.0438,0.258,5.78e-6,0.285,0.185,149.768,audio_features,4DD7dYiv3gBc7H2CJFVptm,spotify:track:4DD7dYiv3gBc7H2CJFVptm,https://api.spotify.com/v1/tracks/4DD7dYiv3gBc7H2CJFVptm,https://api.spotify.com/v1/audio-analysis/4DD7dYiv3gBc7H2CJFVptm,222587,1
Evergreen,0.403,0.882,7,-7.265,1,0.119,0.326,0.00101,0.298,0.503,161.09,audio_features,2bUyKAHjQ58o6gQNh5uyf1,spotify:track:2bUyKAHjQ58o6gQNh5uyf1,https://api.spotify.com/v1/tracks/2bUyKAHjQ58o6gQNh5uyf1,https://api.spotify.com/v1/audio-analysis/2bUyKAHjQ58o6gQNh5uyf1,171240,4
The Otter,0.488,0.71,8,-7.954,1,0.0368,0.153,5.04e-5,0.116,0.231,103.771,audio_features,0zesU7Cq6UM582kMYC6J3E,spotify:track:0zesU7Cq6UM582kMYC6J3E,https://api.spotify.com/v1/tracks/0zesU7Cq6UM582kMYC6J3E,https://api.spotify.com/v1/audio-analysis/0zesU7Cq6UM582kMYC6J3E,178080,4
Tattoos,0.54,0.401,11,-4.982,1,0.0536,0.623,0,0.437,0.354,84.417,audio_features,4JbUI6AoGibHGsHN77aSws,spotify:track:4JbUI6AoGibHGsHN77aSws,https://api.spotify.com/v1/tracks/4JbUI6AoGibHGsHN77aSws,https://api.spotify.com/v1/audio-analysis/4JbUI6AoGibHGsHN77aSws,173026,3
Youth,0.386,0.528,0,-11.291,1,0.0436,0.885,0.00559,0.117,0.388,146.412,audio_features,0UPMxtinlgA1dkne9PAKTW,spotify:track:0UPMxtinlgA1dkne9PAKTW,https://api.spotify.com/v1/tracks/0UPMxtinlgA1dkne9PAKTW,https://api.spotify.com/v1/audio-analysis/0UPMxtinlgA1dkne9PAKTW,253013,4
To Build A Home,0.264,0.128,9,-15.443,1,0.034,0.885,0.352,0.105,0.0774,148.499,audio_features,3AqPL1n1wKc5DVFFnYuJhp,spotify:track:3AqPL1n1wKc5DVFFnYuJhp,https://api.spotify.com/v1/tracks/3AqPL1n1wKc5DVFFnYuJhp,https://api.spotify.com/v1/audio-analysis/3AqPL1n1wKc5DVFFnYuJhp,370667,4
Can't Feel My Face,0.705,0.769,9,-5.526,0,0.0425,0.113,0,0.105,0.583,107.949,audio_features,22VdIZQfgXJea34mQxlt81,spotify:track:22VdIZQfgXJea34mQxlt81,https://api.spotify.com/v1/tracks/22VdIZQfgXJea34mQxlt81,https://api.spotify.com/v1/audio-analysis/22VdIZQfgXJea34mQxlt81,213520,4
The Last Time (feat. Gary Lightbody of Snow Patrol) (Taylor’s Version),0.502,0.534,2,-5.954,1,0.0278,0.0399,0,0.0977,0.155,94.05,audio_features,0y6kdSRCVQhSsHSpWvTUm7,spotify:track:0y6kdSRCVQhSsHSpWvTUm7,https://api.spotify.com/v1/tracks/0y6kdSRCVQhSsHSpWvTUm7,https://api.spotify.com/v1/audio-analysis/0y6kdSRCVQhSsHSpWvTUm7,299080,4
If I Were a Boy,0.632,0.518,6,-6.126,1,0.0313,0.107,0,0.354,0.427,90.007,audio_features,26NX1wPt1TRCH536yocd6i,spotify:track:26NX1wPt1TRCH536yocd6i,https://api.spotify.com/v1/tracks/26NX1wPt1TRCH536yocd6i,https://api.spotify.com/v1/audio-analysis/26NX1wPt1TRCH536yocd6i,249147,4
Wolves,0.411,0.524,6,-5.954,0,0.0474,0.833,7.79e-5,0.169,0.43,144.165,audio_features,4Dw1zcgNOULbgpYCTinJpn,spotify:track:4Dw1zcgNOULbgpYCTinJpn,https://api.spotify.com/v1/tracks/4Dw1zcgNOULbgpYCTinJpn,https://api.spotify.com/v1/audio-analysis/4Dw1zcgNOULbgpYCTinJpn,195689,4
The Hills,0.585,0.564,0,-7.063,0,0.0515,0.0671,0,0.135,0.137,113.003,audio_features,7fBv7CLKzipRk6EC6TWHOB,spotify:track:7fBv7CLKzipRk6EC6TWHOB,https://api.spotify.com/v1/tracks/7fBv7CLKzipRk6EC6TWHOB,https://api.spotify.com/v1/audio-analysis/7fBv7CLKzipRk6EC6TWHOB,242253,4
"Simply the Best (From ""Schitt's Creek"")",0.441,0.138,11,-12.136,1,0.0352,0.93,2.3e-4,0.105,0.119,85.492,audio_features,1KFuLRUmWf0irn0CLclT2X,spotify:track:1KFuLRUmWf0irn0CLclT2X,https://api.spotify.com/v1/tracks/1KFuLRUmWf0irn0CLclT2X,https://api.spotify.com/v1/audio-analysis/1KFuLRUmWf0irn0CLclT2X,177919,4
Love The Way You Lie (Part II) - Pt. 2,0.486,0.839,10,-4.5,1,0.158,0.327,0,0.048,0.398,165.948,audio_features,4aPRuTsiG7B4owTTF8Dm3U,spotify:track:4aPRuTsiG7B4owTTF8Dm3U,https://api.spotify.com/v1/tracks/4aPRuTsiG7B4owTTF8Dm3U,https://api.spotify.com/v1/audio-analysis/4aPRuTsiG7B4owTTF8Dm3U,296227,4
California King Bed,0.475,0.577,7,-3.979,1,0.0341,0.219,0,0.121,0.319,169.897,audio_features,1ceiWukdMtlzOFhiAMluOj,spotify:track:1ceiWukdMtlzOFhiAMluOj,https://api.spotify.com/v1/tracks/1ceiWukdMtlzOFhiAMluOj,https://api.spotify.com/v1/audio-analysis/1ceiWukdMtlzOFhiAMluOj,251600,4
Only Girl (In The World),0.788,0.71,11,-4.24,0,0.0426,0.113,1.22e-5,0.0638,0.632,125.919,audio_features,1VDXQhu7YGdbM6UeEIfsaX,spotify:track:1VDXQhu7YGdbM6UeEIfsaX,https://api.spotify.com/v1/tracks/1VDXQhu7YGdbM6UeEIfsaX,https://api.spotify.com/v1/audio-analysis/1VDXQhu7YGdbM6UeEIfsaX,235493,4
Cheers (Drink To That),0.576,0.912,9,-3.623,1,0.0403,0.0182,0,0.293,0.727,79.981,audio_features,46MDLc0Yip6xCMSsdePOAU,spotify:track:46MDLc0Yip6xCMSsdePOAU,https://api.spotify.com/v1/tracks/46MDLc0Yip6xCMSsdePOAU,https://api.spotify.com/v1/audio-analysis/46MDLc0Yip6xCMSsdePOAU,261747,4
