danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,track.name,primary_artist
0.497,0.742,7,-6.353,0,0.0291,0.00132,0.0395,0.0522,0.209,90.994,audio_features,09zN9QBOHe8795UVOvEtnt,spotify:track:09zN9QBOHe8795UVOvEtnt,https://api.spotify.com/v1/tracks/09zN9QBOHe8795UVOvEtnt,https://api.spotify.com/v1/audio-analysis/09zN9QBOHe8795UVOvEtnt,235733,4,Go! (feat. Mai Lan),M83
0.551,0.47,1,-8.116,1,0.0326,0.128,0,0.12,0.307,119.94,audio_features,76cqRw0ed5YdOFaQhrwkxE,spotify:track:76cqRw0ed5YdOFaQhrwkxE,https://api.spotify.com/v1/tracks/76cqRw0ed5YdOFaQhrwkxE,https://api.spotify.com/v1/audio-analysis/76cqRw0ed5YdOFaQhrwkxE,202920,4,Girlie,Alexandra Savior
0.73,0.355,10,-9.13,0,0.0359,0.154,0.00155,0.117,0.56,142.143,audio_features,5WbfFTuIldjL9x7W6y5l7R,spotify:track:5WbfFTuIldjL9x7W6y5l7R,https://api.spotify.com/v1/tracks/5WbfFTuIldjL9x7W6y5l7R,https://api.spotify.com/v1/audio-analysis/5WbfFTuIldjL9x7W6y5l7R,202653,4,Kingston,Faye Webster
0.164,0.796,1,-5.727,0,0.0458,0.327,0.782,0.118,0.46,150.234,audio_features,2qLXPvrlhdPsR2NpO7CKSN,spotify:track:2qLXPvrlhdPsR2NpO7CKSN,https://api.spotify.com/v1/tracks/2qLXPvrlhdPsR2NpO7CKSN,https://api.spotify.com/v1/audio-analysis/2qLXPvrlhdPsR2NpO7CKSN,210613,4,Crying All the Time,Alexandra Savior
0.536,0.479,5,-14.112,0,0.031,0.277,0.0285,0.139,0.504,88.831,audio_features,3cMuGOGSaTWbwOurTS4b3Y,spotify:track:3cMuGOGSaTWbwOurTS4b3Y,https://api.spotify.com/v1/tracks/3cMuGOGSaTWbwOurTS4b3Y,https://api.spotify.com/v1/audio-analysis/3cMuGOGSaTWbwOurTS4b3Y,281000,4,Talk Show Host,Radiohead
0.627,0.788,6,-7.676,0,0.0352,0.0466,0.00395,0.131,0.798,107.051,audio_features,5M1km9JQz8tDel1k8fA1vc,spotify:track:5M1km9JQz8tDel1k8fA1vc,https://api.spotify.com/v1/tracks/5M1km9JQz8tDel1k8fA1vc,https://api.spotify.com/v1/audio-analysis/5M1km9JQz8tDel1k8fA1vc,212987,4,'Til You're Mine,Alexandra Savior
0.399,0.677,11,-6.735,0,0.0783,0.202,5.02e-5,0.288,0.442,180.379,audio_features,7lZIyXTDcWjE8UdoRlaj2Y,spotify:track:7lZIyXTDcWjE8UdoRlaj2Y,https://api.spotify.com/v1/tracks/7lZIyXTDcWjE8UdoRlaj2Y,https://api.spotify.com/v1/audio-analysis/7lZIyXTDcWjE8UdoRlaj2Y,260387,4,Vanishing Point,Alexandra Savior
0.436,0.187,5,-12.737,0,0.0352,0.918,0.383,0.111,0.0479,115.295,audio_features,7MO0RG25sabwNBHlEv1WNG,spotify:track:7MO0RG25sabwNBHlEv1WNG,https://api.spotify.com/v1/tracks/7MO0RG25sabwNBHlEv1WNG,https://api.spotify.com/v1/audio-analysis/7MO0RG25sabwNBHlEv1WNG,257507,4,Claimed by the Sea,French For Rabbits
0.492,0.344,5,-15.259,1,0.0259,0.674,0.531,0.0933,0.247,86.485,audio_features,3stWWPN41byqp8loPdy92u,spotify:track:3stWWPN41byqp8loPdy92u,https://api.spotify.com/v1/tracks/3stWWPN41byqp8loPdy92u,https://api.spotify.com/v1/audio-analysis/3stWWPN41byqp8loPdy92u,199414,4,Master of None,Beach House
0.514,0.373,0,-7.242,1,0.0254,0.679,1.84e-5,0.292,0.229,83.27,audio_features,3H3lRA0oqK92R3ygLRXn67,spotify:track:3H3lRA0oqK92R3ygLRXn67,https://api.spotify.com/v1/tracks/3H3lRA0oqK92R3ygLRXn67,https://api.spotify.com/v1/audio-analysis/3H3lRA0oqK92R3ygLRXn67,145280,4,The Archer,Alexandra Savior
0.833,0.498,10,-5.196,0,0.117,0.0493,0,0.119,0.259,139.928,audio_features,22ruOqBqBRiZDiXFud4OXa,spotify:track:22ruOqBqBRiZDiXFud4OXa,https://api.spotify.com/v1/tracks/22ruOqBqBRiZDiXFud4OXa,https://api.spotify.com/v1/audio-analysis/22ruOqBqBRiZDiXFud4OXa,153406,4,Over The Top (feat. Drake),Smiley
0.245,0.439,6,-10.539,1,0.0418,0.8,0.477,0.342,0.0939,124.999,audio_features,7KYgg5fYYAWFCeU1A0f9G1,spotify:track:7KYgg5fYYAWFCeU1A0f9G1,https://api.spotify.com/v1/tracks/7KYgg5fYYAWFCeU1A0f9G1,https://api.spotify.com/v1/audio-analysis/7KYgg5fYYAWFCeU1A0f9G1,197714,3,closer,Brenn!
0.768,0.506,6,-8.913,1,0.165,0.415,0.0376,0.133,0.862,77.1,audio_features,4rCuwgRRKaIiHlHDc8Bga6,spotify:track:4rCuwgRRKaIiHlHDc8Bga6,https://api.spotify.com/v1/tracks/4rCuwgRRKaIiHlHDc8Bga6,https://api.spotify.com/v1/audio-analysis/4rCuwgRRKaIiHlHDc8Bga6,51914,4,We Might Even Be Falling In Love (Interlude),Victoria Monét
0.874,0.812,1,-5.499,1,0.114,0.0191,8.46e-4,0.113,0.465,138.047,audio_features,1kn9JsBWIw6qREhDWw0lKb,spotify:track:1kn9JsBWIw6qREhDWw0lKb,https://api.spotify.com/v1/tracks/1kn9JsBWIw6qREhDWw0lKb,https://api.spotify.com/v1/audio-analysis/1kn9JsBWIw6qREhDWw0lKb,167000,4,Ma Boy,Dreamville
0.637,0.651,2,-7.089,1,0.0521,0.32,0,0.0938,0.485,115.926,audio_features,7ByxizhA4GgEf7Sxomxhze,spotify:track:7ByxizhA4GgEf7Sxomxhze,https://api.spotify.com/v1/tracks/7ByxizhA4GgEf7Sxomxhze,https://api.spotify.com/v1/audio-analysis/7ByxizhA4GgEf7Sxomxhze,251511,4,All My Love,Noah Kahan
0.464,0.774,7,-7.761,1,0.0406,0.253,0.00377,0.181,0.419,146.202,audio_features,2NS5hylxl4QNQcD6Vjmtpj,spotify:track:2NS5hylxl4QNQcD6Vjmtpj,https://api.spotify.com/v1/tracks/2NS5hylxl4QNQcD6Vjmtpj,https://api.spotify.com/v1/audio-analysis/2NS5hylxl4QNQcD6Vjmtpj,296333,4,True Blue,boygenius
0.555,0.613,7,-6.917,1,0.0329,0.00949,0.0236,0.123,0.42,117.973,audio_features,6KHYVC9avWQMH40pidRtcG,spotify:track:6KHYVC9avWQMH40pidRtcG,https://api.spotify.com/v1/tracks/6KHYVC9avWQMH40pidRtcG,https://api.spotify.com/v1/audio-analysis/6KHYVC9avWQMH40pidRtcG,200093,3,$20,boygenius
0.578,0.385,11,-12.167,1,0.0534,0.903,0.258,0.101,0.462,135.895,audio_features,2CuBUQZY5SmOaISKWUO9m9,spotify:track:2CuBUQZY5SmOaISKWUO9m9,https://api.spotify.com/v1/tracks/2CuBUQZY5SmOaISKWUO9m9,https://api.spotify.com/v1/audio-analysis/2CuBUQZY5SmOaISKWUO9m9,214867,4,Emily I'm Sorry,boygenius
0.358,0.839,2,-5.342,1,0.203,3.1e-4,8.1e-4,0.101,0.211,84.85,audio_features,4FFec7v5TnYdwNzyrmBGM9,spotify:track:4FFec7v5TnYdwNzyrmBGM9,https://api.spotify.com/v1/tracks/4FFec7v5TnYdwNzyrmBGM9,https://api.spotify.com/v1/audio-analysis/4FFec7v5TnYdwNzyrmBGM9,192716,4,Selfish,slowthai
0.603,0.461,0,-9.066,1,0.0729,0.549,0,0.104,0.214,113.948,audio_features,3onPL6KjCPM0K8wZkDeU7y,spotify:track:3onPL6KjCPM0K8wZkDeU7y,https://api.spotify.com/v1/tracks/3onPL6KjCPM0K8wZkDeU7y,https://api.spotify.com/v1/audio-analysis/3onPL6KjCPM0K8wZkDeU7y,181750,4,A Troubled Mind,Noah Kahan
0.679,0.557,0,-7.423,1,0.0281,0.0904,0.0324,0.0866,0.405,85.152,audio_features,6vUPPEN2V2lZ78b6DyEIjZ,spotify:track:6vUPPEN2V2lZ78b6DyEIjZ,https://api.spotify.com/v1/tracks/6vUPPEN2V2lZ78b6DyEIjZ,https://api.spotify.com/v1/audio-analysis/6vUPPEN2V2lZ78b6DyEIjZ,303133,4,What It's Like,Everlast
0.368,0.314,0,-8.491,1,0.0316,0.796,1.69e-6,0.126,0.371,109.143,audio_features,3DXEbjIftmPeBj638CxyJD,spotify:track:3DXEbjIftmPeBj638CxyJD,https://api.spotify.com/v1/tracks/3DXEbjIftmPeBj638CxyJD,https://api.spotify.com/v1/audio-analysis/3DXEbjIftmPeBj638CxyJD,171663,4,Deep End,Holly Humberstone
0.567,0.235,11,-13.57,1,0.0322,0.454,6.67e-6,0.0938,0.265,81.678,audio_features,2CxLla7i6lur02aOVMHPMK,spotify:track:2CxLla7i6lur02aOVMHPMK,https://api.spotify.com/v1/tracks/2CxLla7i6lur02aOVMHPMK,https://api.spotify.com/v1/audio-analysis/2CxLla7i6lur02aOVMHPMK,264908,4,Someday - triple j Like A Version,Julia Jacklin
0.352,0.611,11,-6.917,0,0.0395,0.455,0.195,0.0952,0.198,79.858,audio_features,2SiNnD3em2ZwKT1oY0fIpo,spotify:track:2SiNnD3em2ZwKT1oY0fIpo,https://api.spotify.com/v1/tracks/2SiNnD3em2ZwKT1oY0fIpo,https://api.spotify.com/v1/audio-analysis/2SiNnD3em2ZwKT1oY0fIpo,173523,4,But You,Alexandra Savior
0.644,0.725,11,-4.618,1,0.0701,0.0112,0,0.146,0.584,77.977,audio_features,0x1LCpY9Rgeq97VPajm81B,spotify:track:0x1LCpY9Rgeq97VPajm81B,https://api.spotify.com/v1/tracks/0x1LCpY9Rgeq97VPajm81B,https://api.spotify.com/v1/audio-analysis/0x1LCpY9Rgeq97VPajm81B,222053,4,Cyclone (feat. T-Pain) - Main,Baby Bash
0.52,0.287,0,-11.775,1,0.0385,0.906,0,0.0756,0.213,151.185,audio_features,6QtBvQVb03I6ex0fXMf9ga,spotify:track:6QtBvQVb03I6ex0fXMf9ga,https://api.spotify.com/v1/tracks/6QtBvQVb03I6ex0fXMf9ga,https://api.spotify.com/v1/audio-analysis/6QtBvQVb03I6ex0fXMf9ga,230660,4,Raleigh,Beulahbelle
0.364,0.294,0,-6.578,0,0.0504,0.833,0,0.264,0.125,79.477,audio_features,2VFetGqLYq0Pc8ZtRYCaeL,spotify:track:2VFetGqLYq0Pc8ZtRYCaeL,https://api.spotify.com/v1/tracks/2VFetGqLYq0Pc8ZtRYCaeL,https://api.spotify.com/v1/audio-analysis/2VFetGqLYq0Pc8ZtRYCaeL,227749,3,In The Kitchen,Reneé Rapp
